instance 	 p_hat 	 p_bar 
20 	 [18, 98, 33, 64, 58, 84, 27, 63, 50, 78, 99, 90, 35, 30, 14, 4, 4, 70, 49, 28] 	 [73, 9, 16, 98, 61, 49, 13, 4, 56, 98, 1, 58, 93, 76, 41, 3, 84, 2, 88, 55] 
20 	 [93, 68, 98, 64, 30, 30, 29, 59, 3, 72, 13, 81, 38, 96, 93, 65, 65, 25, 37, 64] 	 [4, 29, 57, 71, 45, 87, 98, 38, 54, 83, 24, 93, 16, 43, 92, 55, 86, 39, 76, 65] 
20 	 [51, 5, 32, 52, 86, 47, 90, 87, 48, 57, 66, 100, 67, 48, 94, 61, 40, 79, 75, 83] 	 [76, 62, 96, 54, 23, 71, 100, 95, 12, 85, 14, 21, 51, 63, 4, 6, 91, 76, 51, 22] 
20 	 [22, 30, 99, 70, 30, 66, 74, 59, 85, 78, 1, 95, 17, 100, 27, 8, 47, 71, 65, 63] 	 [65, 2, 26, 71, 52, 45, 46, 35, 71, 94, 50, 66, 67, 72, 55, 62, 73, 26, 53, 46] 
20 	 [54, 1, 70, 79, 59, 4, 82, 71, 24, 71, 5, 10, 3, 2, 97, 32, 15, 24, 38, 22] 	 [45, 69, 80, 43, 77, 30, 23, 75, 12, 33, 87, 11, 58, 97, 36, 35, 80, 45, 9, 21] 
20 	 [33, 22, 35, 92, 59, 42, 61, 4, 50, 54, 34, 33, 66, 78, 3, 3, 19, 93, 58, 65] 	 [68, 85, 83, 38, 90, 64, 15, 40, 44, 25, 14, 94, 27, 56, 29, 51, 5, 21, 91, 87] 
20 	 [55, 29, 89, 58, 68, 4, 87, 42, 81, 8, 39, 28, 40, 10, 39, 21, 73, 17, 72, 76] 	 [70, 81, 67, 29, 84, 51, 74, 85, 55, 95, 17, 7, 10, 40, 96, 54, 33, 2, 5, 28] 
20 	 [73, 22, 91, 66, 49, 45, 27, 87, 76, 64, 86, 38, 64, 42, 52, 3, 26, 73, 44, 28] 	 [59, 100, 80, 5, 26, 13, 74, 56, 25, 14, 50, 65, 3, 79, 37, 21, 42, 18, 55, 35] 
20 	 [87, 49, 45, 69, 99, 31, 93, 11, 22, 69, 35, 43, 65, 48, 44, 38, 78, 92, 18, 71] 	 [13, 71, 88, 63, 69, 9, 6, 18, 22, 28, 98, 77, 33, 44, 15, 31, 100, 63, 75, 99] 
20 	 [14, 6, 10, 19, 44, 79, 49, 74, 29, 11, 47, 73, 15, 36, 6, 2, 86, 12, 15, 25] 	 [42, 53, 49, 17, 15, 76, 10, 71, 73, 35, 38, 69, 59, 14, 38, 79, 2, 53, 6, 31] 
20 	 [76, 21, 58, 88, 21, 14, 49, 38, 33, 62, 13, 84, 6, 2, 93, 41, 51, 52, 9, 77] 	 [54, 15, 22, 31, 96, 56, 70, 71, 92, 41, 27, 41, 4, 38, 77, 58, 41, 9, 41, 59] 
20 	 [15, 28, 100, 89, 85, 34, 70, 40, 32, 11, 12, 58, 84, 83, 30, 40, 42, 41, 39, 43] 	 [33, 80, 70, 61, 46, 24, 27, 26, 47, 36, 97, 12, 74, 44, 50, 6, 24, 75, 32, 13] 
20 	 [70, 75, 12, 29, 32, 10, 71, 94, 3, 2, 97, 64, 20, 65, 42, 66, 23, 100, 19, 40] 	 [79, 77, 32, 3, 52, 35, 10, 10, 82, 38, 46, 61, 13, 100, 10, 86, 23, 20, 41, 14] 
20 	 [91, 78, 17, 19, 93, 100, 80, 71, 89, 23, 56, 21, 92, 32, 100, 88, 56, 33, 57, 59] 	 [66, 38, 27, 70, 5, 41, 87, 96, 27, 39, 69, 7, 86, 33, 9, 58, 71, 70, 69, 2] 
20 	 [51, 22, 63, 83, 74, 8, 46, 18, 17, 34, 51, 52, 79, 30, 1, 68, 65, 57, 82, 29] 	 [44, 34, 4, 54, 3, 89, 75, 76, 18, 36, 73, 23, 12, 63, 23, 41, 84, 88, 94, 31] 
20 	 [41, 88, 29, 53, 72, 94, 36, 29, 10, 66, 48, 66, 27, 39, 39, 48, 90, 95, 77, 16] 	 [64, 62, 92, 44, 79, 84, 83, 7, 98, 83, 21, 99, 40, 89, 71, 22, 90, 60, 11, 78] 
20 	 [66, 49, 20, 55, 73, 97, 64, 51, 82, 50, 22, 94, 68, 33, 13, 95, 18, 79, 88, 11] 	 [74, 23, 33, 28, 93, 7, 88, 92, 45, 66, 70, 6, 12, 81, 35, 11, 100, 85, 90, 57] 
20 	 [31, 56, 22, 57, 80, 28, 56, 69, 16, 38, 32, 96, 1, 68, 75, 4, 78, 34, 23, 19] 	 [49, 51, 42, 17, 63, 16, 77, 53, 85, 36, 49, 72, 25, 57, 3, 81, 32, 27, 37, 70] 
20 	 [26, 40, 97, 88, 22, 46, 54, 99, 74, 27, 14, 16, 96, 70, 87, 93, 18, 65, 74, 56] 	 [35, 75, 33, 58, 70, 63, 16, 27, 50, 37, 4, 73, 2, 38, 98, 84, 10, 48, 40, 65] 
20 	 [87, 98, 42, 16, 92, 45, 70, 44, 88, 64, 83, 49, 72, 36, 77, 95, 66, 60, 67, 96] 	 [46, 68, 1, 57, 58, 40, 52, 94, 74, 15, 49, 27, 1, 82, 93, 94, 26, 77, 53, 92] 
